species_id,species,discovered,variety,common_name,functional_group,functional_group2,order,family,clade1,clade2,clade3,clade4,region
1,Senegalia berlandieri,,,Guajillo,shrub,Shrubs,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,US/mexico
2,Acacia mangium,Willd.,,Mangium,tree,Broadleaves,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,Maluku/NE Queensland AU
3,Acer circinatum,,,Vine maple,tree,Broadleaves,Sapindales,Sapindaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,NW North Am
4,Acer macrophyllum,,,Oregon maple,tree,Broadleaves,Sapindales,Sapindaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,W North Am
5,Acer pseudoplatanus,,,Sycamore,tree,Broadleaves,Sapindales,Sapindaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"Eur, NA, Austr"
6,Achnatherum calamagrostis,,,Spear grass,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,Mountains C SE Europe
7,Alnus rubra,,,Red alder,tree,Broadleaves,Fagales,Betulaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,North Am
8,Anaphalis margaritacea,,,Pearly everlasting,grass/herb,Forbs,Asterales,Asteraceae,Tracheophytes,Angiosperms,Monocots,Asterids,"Asia, North Am"
9,Asparagus acutifolius,,,Wild asparagus,grass/herb,Forbs,Asparagales,Asparagaceae,Tracheophytes,Angiosperms,Monocots,,Med
10,Atriplex halimus,L.,,Mediterranean saltbush,shrub,Shrubs,Caryophyllales,Amaranthaceae,Tracheophytes,Angiosperms,Eudicots,,"Med, N&E Africa, Arabia"
11,Betula platyphylla,,,White birch,tree,Broadleaves,Fagales,Betulaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,subarctic/temperate Asia
12,Brachiaria ruziziensis,,,Congo grass,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,humid tropics
13,Bromus erectus,,,Upright brome,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,"EU, SW Asia, NW Africa"
14,Carpinus betulus,,,European hornbeam,tree,Broadleaves,Fagales,Betulaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"W Asia, Eur"
15,Castanea sativa,Mill.,,Sweet chestnut,tree,Broadleaves,Fagales,Fagaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"SE Eur, Asia Minor, temperate worls"
16,Celtis laevigata,,,Sugarberry,tree,Broadleaves,Rosales,Cannabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"E US, Texam, NE Mex, Bermuda"
17,Cercis canadensis,,,Eastern redbud,shrub,Shrubs,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"E NA, centr Mex, south Ontario"
18,Chrysopogon nemoralis,,,Vetiver nemoralis,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,"Vietnam, Malaysia"
19,Chrysopogon zizanioides,,,Vetiver zizanioides,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,SE Asia
20,Cistus,,,Cistus,shrub,Shrubs,Malvales,Cistaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"Med, Middle east"
21,Cryptomeria japonica,D. Don,,Japanese cedar,tree,Conifers,Cupressales,Cupressaceae,Tracheophytes,Gymnospermae,,,Japan
23,Cynara cardunculus,L.,,Cardoon,grass/herb,Forbs,Asterales,Asteraceae,Tracheophytes,Angiosperms,Eudicots,Asterids,Med
25,Cynodon dactylon,,,Bermuda grass,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,"Eu, Af, Au, much of Asia"
26,Dactylis glomerata,,,Orchard grass,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,"Eu, temperate Asia, N Af"
27,Digitalis purpurea,,,Foxglove,grass/herb,Forbs,Lamiales,Plantaginaceae,Tracheophytes,Angiosperms,Eudicots,Asterids,temperate EU
28,Dillenia suffruticosa,,,Simpor,shrub,Shrubs,Dilleniales,Dilleniaceae,Tracheophytes,Angiosperms,Eudicots,,tropical SE Asia
29,Dolichos latlab,L.,,Hyacinth bean,grass/herb,Forbs,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"subsahara Af, India, Tropics"
30,Festuca arundinacea,,,Tall fescue,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,EU
31,Festuca pratensis,,,Meadow fescue,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,"damp grass, measdows, verges."
32,Festuca rubra,,,Red fescue,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,"cool, temperate climates"
33,Fraxinus excelsior,L.,,European ash,tree,Broadleaves,Lamiales,Oleaceae,Tracheophytes,Angiosperms,Eudicots,Asterids,"Eu, caucasus, UK, norway"
34,Hordeum vulgare,,Optic,Barley,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,Eurasia
35,Inula viscosa,L.,,False yellowhead,shrub,Shrubs,Asterales,Asteraceae,Tracheophytes,Angiosperms,Eudicots,Asterids,Med
36,Lantana camara,,,Common lantana,shrub,Shrubs,Lamiales,Verbenaceae,Tracheophytes,Angiosperms,Eudicots,Asterids,American tropics
37,Larix decidua,Mill.,,European larch,tree,Conifers,Pinales,Pinaceae,Tracheophytes,Gymnospermae,,,Mountains of C EU
38,Larix gmelinii,,,Dahurian larch,tree,Conifers,Pinales,Pinaceae,Tracheophytes,Gymnospermae,,,"E Siberia, NW Mong, NE China, Korea"
39,Leucaena leucocephala,,,River tamarind,tree,Broadleaves,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,"S Mex, N Centr Am"
40,Ligustrum lucidum,,,Glossy privet,tree,Broadleaves,Lamiales,Oleaceae,Tracheophytes,Angiosperms,Eudicots,Asterids,S China
41,Lolium multiflorum,,,Italian ryegrass,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,temperate EU
42,Lolium perenne,,,Perennial ryegrass,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,"EU, middle east, N Af, Centr Asia"
43,Lolium perenne x Festuca pratensis,,,Perennial ryegrass x Meadow fescue,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,"EU, middle east, N Af, Centr Asia"
44,Lotus corniculatus,,,Bird's-foot trefoil,grass/herb,Forbs,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,temperate Eurasia + N Af
45,Lygeum spartum,L.,,Esparto grass,grass/herb,Grasses,Poales,Poaceae,Tracheophytes,Angiosperms,Monocots,Commelinids,Med
46,Mahonia nervosa,,,Dull Oregon grape,shrub,Shrubs,Ranunculales,Berberidaceae,Tracheophytes,Angiosperms,Eudicots,,Nw North Am
47,Medicago sativa,,,Alfalfa,grass/herb,Forbs,Fabales,Fabaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,warmer temperate climates
48,Melaleuca ericifolia & Eucalyptus camaldulensis,,,Swamp paperbark & River red gum,tree,Broadleaves,Myrtales,Myrtaceae,Tracheophytes,Angiosperms,Eudicots,Rosids,australia
49,Melastoma malabathricum,,,Malabar melastome,shrub,Shrubs,Myrtales,Melastomataceae,Tracheophytes,Angiosperms,Eudicots,Rosids,tropica/subtropical asia
